time;traffic
2613;252000000000
2614;252000000000
2615;252000000000
2616;252000000000
2617;252000000000
2618;255000000000
2619;255000000000
2620;255000000000
2621;255000000000
2622;255000000000
2623;243000000000
2624;243000000000
2625;243000000000
2626;243000000000
2627;243000000000
2628;260000000000
2629;260000000000
2630;260000000000
2631;260000000000
2632;260000000000
2633;24900000000
2634;24900000000
2635;24900000000
2636;24900000000
2637;24900000000
2638;247000000000
2639;247000000000
2640;247000000000
2641;247000000000
2642;247000000000
2643;225000000000
2644;225000000000
2645;225000000000
2646;225000000000
2647;225000000000
2648;230000000000
2649;230000000000
2650;230000000000
2651;230000000000
2652;230000000000
2653;204000000000
2654;204000000000
2655;204000000000
2656;204000000000
2657;204000000000
2658;192000000000
2659;192000000000
2660;192000000000
2661;192000000000
2662;192000000000
2663;183000000000
2664;183000000000
2665;183000000000
2666;183000000000
2667;183000000000
2668;157000000000
2669;157000000000
2670;157000000000
2671;157000000000
2672;157000000000
2673;148000000000
2674;148000000000
2675;148000000000
2676;148000000000
2677;148000000000
2678;157000000000
2679;157000000000
2680;157000000000
2681;157000000000
2682;157000000000
2683;157000000000
2684;157000000000
2685;157000000000
2686;157000000000
2687;157000000000
2688;150000000000
2689;150000000000
2690;150000000000
2691;150000000000
2692;150000000000
2693;155000000000
2694;155000000000
2695;155000000000
2696;155000000000
2697;155000000000
2698;148000000000
2699;148000000000
2700;148000000000
2701;148000000000
2702;148000000000
2703;145000000000
2704;145000000000
2705;145000000000
2706;145000000000
2707;145000000000
2708;157000000000
2709;157000000000
2710;157000000000
2711;157000000000
2712;157000000000
2713;145000000000
2714;145000000000
2715;145000000000
2716;145000000000
2717;145000000000
2718;150000000000
2719;150000000000
2720;150000000000
2721;150000000000
2722;150000000000
2723;136000000000
2724;136000000000
2725;136000000000
2726;136000000000
2727;136000000000
2728;121000000000
2729;121000000000
2730;121000000000
2731;121000000000
2732;121000000000
2733;142000000000
2734;142000000000
2735;142000000000
2736;142000000000
2737;142000000000
2738;135000000000
2739;135000000000
2740;135000000000
2741;135000000000
2742;135000000000
2743;133000000000
2744;133000000000
2745;133000000000
2746;133000000000
2747;133000000000
2748;149000000000
2749;149000000000
2750;149000000000
2751;149000000000
2752;149000000000
2753;143000000000
2754;143000000000
2755;143000000000
2756;143000000000
2757;143000000000
2758;14800000000
2759;14800000000
2760;14800000000
2761;14800000000
2762;14800000000
2763;178000000000
2764;178000000000
2765;178000000000
2766;178000000000
2767;178000000000
2768;178000000000
2769;178000000000
2770;178000000000
2771;178000000000
2772;178000000000
2773;189000000000
2774;189000000000
2775;189000000000
2776;189000000000
2777;189000000000
2778;204000000000
2779;204000000000
2780;204000000000
2781;204000000000
2782;204000000000
2783;190000000000
2784;190000000000
2785;190000000000
2786;190000000000
2787;190000000000
2788;202000000000
2789;202000000000
2790;202000000000
2791;202000000000
2792;202000000000
2793;211000000000
2794;211000000000
2795;211000000000
2796;211000000000
2797;211000000000
2798;207000000000
2799;207000000000
2800;207000000000
2801;207000000000
2802;207000000000
2803;206000000000
2804;206000000000
2805;206000000000
2806;206000000000
2807;206000000000
2808;199000000000
2809;199000000000
2810;199000000000
2811;199000000000
2812;199000000000
2813;201000000000
2814;201000000000
2815;201000000000
2816;201000000000
2817;201000000000
2818;204000000000
2819;204000000000
2820;204000000000
2821;204000000000
2822;204000000000
2823;17500000000
2824;17500000000
2825;17500000000
2826;17500000000
2827;17500000000
2828;179000000000
2829;179000000000
2830;179000000000
2831;179000000000
2832;179000000000
2833;175000000000
2834;175000000000
2835;175000000000
2836;175000000000
2837;175000000000
2838;227000000000
2839;227000000000
2840;227000000000
2841;227000000000
2842;227000000000
2843;254000000000
2844;254000000000
2845;254000000000
2846;254000000000
2847;254000000000
2848;239000000000
2849;239000000000
2850;239000000000
2851;239000000000
2852;239000000000
2853;237000000000
2854;237000000000
2855;237000000000
2856;237000000000
2857;237000000000
2858;262000000000
2859;262000000000
2860;262000000000
2861;262000000000
2862;262000000000
2863;267000000000
2864;267000000000
2865;267000000000
2866;267000000000
2867;267000000000
2868;235000000000
2869;235000000000
2870;235000000000
2871;235000000000
2872;225000000000
2873;225000000000
2874;244000000000
2875;244000000000
2876;244000000000
2877;244000000000
2878;244000000000
2879;284000000000
2880;284000000000
2881;284000000000
2882;284000000000
2883;284000000000
2884;262000000000
2885;262000000000
2886;262000000000
2887;262000000000
2888;262000000000
2889;291000000000
2890;291000000000
2891;291000000000
2892;291000000000
2893;291000000000
2894;284000000000
2895;284000000000
2896;284000000000
2897;284000000000
2898;284000000000
2899;279000000000
2900;279000000000
2901;279000000000
2902;279000000000
2903;279000000000
2904;294000000000
2905;294000000000
2906;294000000000
2907;294000000000
2908;294000000000
2909;305000000000
2910;305000000000
2911;305000000000
2912;305000000000
2913;305000000000
2914;307000000000
2915;307000000000
2916;307000000000
2917;307000000000
2918;307000000000
2919;306000000000
2920;306000000000
2921;306000000000
2922;306000000000
2923;306000000000
2924;337000000000
2925;337000000000
2926;337000000000
2927;337000000000
2928;337000000000
2929;358000000000
2930;358000000000
2931;358000000000
2932;358000000000
2933;358000000000
2934;412000000000
2935;412000000000
2936;412000000000
2937;412000000000
2938;412000000000
2939;386000000000
2940;386000000000
2941;386000000000
2942;386000000000
2943;386000000000
2944;371000000000
2945;371000000000
2946;371000000000
2947;371000000000
2948;371000000000
2949;36800000000
2950;36800000000
2951;36800000000
2952;36800000000
2953;36800000000
2954;486000000000
2955;486000000000
2956;486000000000
2957;486000000000
2958;486000000000
2959;376000000000
2960;376000000000
2961;376000000000
2962;376000000000
2963;376000000000
2964;36400000000
2965;36400000000
2966;36400000000
2967;36400000000
2968;36400000000
2969;371000000000
2970;371000000000
2971;371000000000
2972;371000000000
2973;371000000000
2974;419000000000
2975;419000000000
2976;419000000000
2977;419000000000
2978;419000000000
2979;45600000000
2980;45600000000
2981;45600000000
2982;45600000000
2983;45600000000
2984;427000000000
2985;427000000000
2986;427000000000
2987;427000000000
2988;427000000000
2989;403000000000
2990;403000000000
2991;403000000000
2992;403000000000
2993;403000000000
2994;408000000000
2995;408000000000
2996;408000000000
2997;408000000000
2998;408000000000
2999;440000000000
3000;440000000000
3001;440000000000
3002;440000000000
3003;440000000000
3004;501000000000
3005;501000000000
3006;501000000000
3007;501000000000
3008;501000000000
3009;452000000000
3010;452000000000
3011;452000000000
3012;452000000000
3013;452000000000
3014;516000000000
3015;516000000000
3016;516000000000
3017;516000000000
3018;516000000000
3019;526000000000
3020;526000000000
3021;526000000000
3022;526000000000
3023;526000000000
3024;529000000000
3025;529000000000
3026;529000000000
3027;529000000000
3028;529000000000
3029;493000000000
3030;493000000000
3031;493000000000
3032;493000000000
3033;493000000000
3034;465000000000
3035;465000000000
3036;465000000000
3037;465000000000
3038;465000000000
3039;435000000000
3040;435000000000
3041;435000000000
3042;435000000000
3043;435000000000
3044;388000000000
3045;388000000000
3046;388000000000
3047;388000000000
3048;388000000000
3049;426000000000
3050;426000000000
3051;426000000000
3052;426000000000
3053;426000000000
3054;420000000000
3055;420000000000
3056;420000000000
3057;420000000000
3058;420000000000
3059;415000000000
3060;415000000000
3061;415000000000
3062;415000000000
3063;415000000000
3064;407000000000
3065;407000000000
3066;407000000000
3067;407000000000
3068;407000000000
3069;406000000000
3070;406000000000
3071;406000000000
3072;406000000000
3073;406000000000
3074;399000000000
3075;399000000000
3076;399000000000
3077;399000000000
3078;399000000000
3079;408000000000
3080;408000000000
3081;408000000000
3082;408000000000
3083;408000000000
3084;442000000000
3085;442000000000
3086;442000000000
3087;442000000000
3088;442000000000
3089;439000000000
3090;439000000000
3091;439000000000
3092;439000000000
3093;439000000000
3094;386000000000
3095;386000000000
3096;386000000000
3097;386000000000
3098;386000000000
3099;381000000000
3100;381000000000
3101;381000000000
3102;381000000000
3103;381000000000
3104;367000000000
3105;367000000000
3106;367000000000
3107;367000000000
3108;367000000000
3109;39500000000
3110;39500000000
3111;39500000000
3112;39500000000
3113;39500000000
3114;385000000000
3115;385000000000
3116;385000000000
3117;385000000000
3118;385000000000
3119;400000000000
3120;400000000000
